0	-1.0	Instead of contriving a climactic hero ' s death for the beloved - major - character - who - shall - remain - nam@@ eless , why not invite some genuine spontaneity into the film by having the evil aliens ' laser guns actually hit something for once ?
0	-1.0	contriving a climactic hero ' s death for the beloved - major
0	-1.0	contriving
0	1.0	a climactic hero ' s
0	1.0	climactic
0	1.0	hero
0	1.0	beloved - major
0	-1.0	character - who - shall - remain - nam@@ eless
0	-1.0	, why not invite some genuine spontaneity into the film by having the evil aliens ' laser guns actually hit something for once ?
0	-1.0	why not invite some genuine spontaneity into the film by having the evil aliens ' laser guns actually hit something for once ?
0	-1.0	not invite some genuine spontaneity into the film by having the evil aliens ' laser guns actually hit something for once ?
0	-1.0	not
0	-1.0	invite some genuine spontaneity into the film by having the evil aliens ' laser guns actually hit something for once ?
0	-1.0	invite some genuine spontaneity into the film by having the evil aliens ' laser guns actually hit something for once
0	1.0	invite some genuine spontaneity into the film
0	1.0	invite
0	1.0	some genuine spontaneity
0	1.0	genuine spontaneity
0	1.0	genuine
0	-1.0	by having the evil aliens ' laser guns actually hit something for once
0	-1.0	evil
0	1.0	hit
0	1.0	for once
1	-1.0	The movie is so resolutely cobbled together out of older movies that it even uses a totally unnecessary prologue , just because it seems obligatory .
1	-1.0	is so resolutely cobbled together out of older movies that it even uses a totally unnecessary prologue , just because it seems obligatory .
1	-1.0	is so resolutely cobbled together out of older movies that it even uses a totally unnecessary prologue , just because it seems obligatory
1	1.0	is so resolutely
1	-1.0	cobbled together out of older movies
1	-1.0	out
1	-1.0	older
1	-1.0	that it even uses a totally unnecessary prologue , just because it seems obligatory
1	-1.0	it even uses a totally unnecessary prologue , just because it seems obligatory
1	-1.0	even uses a totally unnecessary prologue , just because it seems obligatory
1	-1.0	uses a totally unnecessary prologue , just because it seems obligatory
1	-1.0	uses a totally unnecessary prologue ,
1	-1.0	totally unnecessary prologue
1	-1.0	just because it seems obligatory
2	-1.0	Sp@@ ousal abuse is a major problem in contemporary society , but the film reduces this domestic tragedy to florid melodrama .
2	-1.0	Sp@@ ousal abuse is a major problem in contemporary society , but the film reduces this domestic tragedy to florid melodrama
2	-1.0	abuse
2	-1.0	a major problem in contemporary society
2	-1.0	a major problem
2	-1.0	major problem
2	-1.0	problem
2	1.0	contemporary
2	-1.0	the film reduces this domestic tragedy to florid melodrama
2	-1.0	reduces this domestic tragedy to florid melodrama
2	-1.0	reduces this domestic tragedy
2	-1.0	this domestic tragedy
2	-1.0	domestic tragedy
2	-1.0	tragedy
3	-1.0	The crea@@ king , ru@@ sty ship makes a fine backdrop , but the ghosts ' haunting is routine .
3	1.0	The crea@@ king , ru@@ sty ship makes a fine backdrop
3	-1.0	The crea@@ king , ru@@ sty ship
3	-1.0	crea@@ king , ru@@ sty ship
3	-1.0	crea@@ king
3	-1.0	, ru@@ sty ship
3	1.0	makes a fine backdrop
3	1.0	fine backdrop
3	1.0	fine
3	-1.0	is routine
4	1.0	Dis@@ playing about equal amounts of naiveté , passion and talent , B@@ eneath Cl@@ ouds establishes Sen as a filmmaker of considerable potential .
4	1.0	Dis@@ playing about equal amounts of naiveté , passion and talent
4	1.0	about equal amounts of naiveté , passion and talent
4	1.0	equal amounts of naiveté , passion and talent
4	1.0	of naiveté , passion and talent
4	1.0	naiveté , passion and talent
4	1.0	, passion and talent
4	1.0	passion and talent
4	1.0	talent
4	1.0	, B@@ eneath Cl@@ ouds establishes Sen as a filmmaker of considerable potential .
4	1.0	B@@ eneath Cl@@ ouds establishes Sen as a filmmaker of considerable potential .
4	1.0	establishes Sen as a filmmaker of considerable potential .
4	1.0	establishes Sen as a filmmaker of considerable potential
4	1.0	Sen as a filmmaker of considerable potential
4	1.0	as a filmmaker of considerable potential
4	1.0	a filmmaker of considerable potential
4	1.0	of considerable potential
4	1.0	considerable potential
4	1.0	considerable
4	1.0	potential
5	-1.0	A preposterous , prurient whodunit .
5	-1.0	A preposterous , prurient whodunit
5	-1.0	preposterous , prurient whodunit
5	-1.0	preposterous , prurient
5	-1.0	preposterous
6	-1.0	Lame , haphazard teen comedy .
6	-1.0	Lame , haphazard teen comedy
6	-1.0	Lame ,
6	-1.0	Lame
6	1.0	comedy
7	-1.0	`` Loo@@ king For Leon@@ ard ' ' just seems to kind of sit in neutral , hoping for a stiff wind to blow it uph@@ ill or something .
7	1.0	For Leon@@ ard
7	-1.0	sit in neutral , hoping for a stiff wind to blow it
7	-1.0	sit in neutral
7	-1.0	hoping for a stiff wind
7	-1.0	stiff
7	1.0	wind
7	-1.0	to blow it
7	1.0	uph@@ ill or something
8	-1.0	Everyone connected to this movie seems to be part of an insider cli@@ que , which tends to breed formulaic films rather than fresh ones .
8	1.0	Everyone connected to this movie
8	1.0	connected to this movie
8	-1.0	seems to be part of an insider cli@@ que , which tends to breed formulaic films rather than fresh ones .
8	-1.0	to be part of an insider cli@@ que , which tends to breed formulaic films rather than fresh ones
8	-1.0	be part of an insider cli@@ que , which tends to breed formulaic films rather than fresh ones
8	-1.0	part of an insider cli@@ que , which tends to breed formulaic films rather than fresh ones
8	-1.0	an insider cli@@ que , which tends to breed formulaic films rather than fresh ones
8	-1.0	which tends to breed formulaic films rather than fresh ones
8	-1.0	tends to breed formulaic films rather than fresh ones
8	-1.0	to breed formulaic films rather than fresh ones
8	-1.0	breed formulaic films rather than fresh ones
8	-1.0	formulaic films rather than
8	-1.0	formulaic
8	1.0	fresh
9	1.0	A me@@ a@@ tier deeper beginning and / or ending would have easily ti@@ pped this film into the `` A ' ' range , as is , it ' s a very very strong `` B + . ' '
9	1.0	A me@@ a@@ tier deeper beginning
9	1.0	A me@@ a@@ tier
9	1.0	would have easily ti@@ pped this film into the `` A ' ' range , as is
9	1.0	have easily ti@@ pped this film into the `` A ' ' range , as is
9	1.0	easily
9	1.0	ti@@ pped this film into the `` A ' ' range , as is
9	1.0	into the `` A ' ' range , as is
9	1.0	the `` A ' ' range ,
9	1.0	the `` A ' ' range
9	1.0	`` A ' ' range
9	1.0	A ' ' range
9	1.0	, it ' s a very very strong `` B + . ' '
9	1.0	it ' s a very very strong `` B + . ' '
9	1.0	' s a very very strong `` B + . ' '
9	1.0	' s a very very strong `` B + .
9	1.0	' s a very very strong `` B +
9	1.0	a very very strong `` B +
9	1.0	very very strong `` B +
9	1.0	very very strong
9	1.0	very strong
9	1.0	strong
9	1.0	`` B +
9	1.0	B +
10	1.0	A brutal and funny work .
10	1.0	A brutal and funny
10	1.0	brutal and funny
10	-1.0	brutal and
10	1.0	funny
11	-1.0	Though clearly well - intentioned , this cross - cultural soap opera is painfully formulaic and stilted .
11	1.0	Though clearly well - intentioned
11	1.0	clearly well - intentioned
11	1.0	well - intentioned
11	-1.0	, this cross - cultural soap opera is painfully formulaic and stilted .
11	-1.0	this cross - cultural soap opera is painfully formulaic and stilted .
11	-1.0	soap opera
11	-1.0	is painfully formulaic and stilted .
11	-1.0	is painfully formulaic and stilted
11	-1.0	painfully formulaic and stilted
11	-1.0	painfully
11	-1.0	formulaic and stilted
11	-1.0	formulaic
11	-1.0	stilted
12	1.0	Elling , portrayed with quiet fas@@ tidi@@ ousness by P@@ er Christian El@@ lef@@ sen , is a truly singular character , one whose fra@@ il@@ ties are only slightly magni@@ fied versions of the ones that vex nearly everyone .
12	1.0	Elling , portrayed with quiet fas@@ tidi@@ ousness by P@@ er Christian El@@ lef@@ sen ,
